VAS
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1494399900,38.55
9,38.28
179,38.315
307,38.495
374,38.24
382,38.29
438,38.345
a1494486300,38.675
3,38.52
49,38.9
55,39.085
230,38.865
289,38.775
372,38.795
412,38.48
415,38.525
418,38.48
420,38.43
435,38.32
484,38.645
a1494582180,38.47
126,38.225
332,38.23
a1494831900,38.42
13,38.4
45,38.47
61,38.43
151,38.44
332,38.55
375,38.62
a1494918720,38.9
6,39.11
22,38.895
28,38.885
31,38.8
97,38.715
111,38.725
169,38.58
172,38.58
223,38.615
224,38.58
313,38.785
365,38.89
366,38.94
a1495005000,38.845
70,39.2
86,39.085
276,39.4
302,39.365
356,39.055
384,39.155
397,39.165
a1495091100,38.905
25,38.67
28,38.68
91,38.59
167,38
a1495186200,39.04
52,39.05
324,39.415
334,39.465
a1495445520,39.675
84,39.705
123,39.705
288,39.84
306,39.665
329,39.84
330,39.84
a1495523100,40
58,40.075
70,40.025
180,39.845
247,39.895
257,40
269,40.165
347,40.335
379,40.2
411,40.05
421,40.05
429,40.055
432,40.075
480,40.15
a1495609500,40.395
12,40.115
16,40.26
18,40.275
26,40.2
27,40.185
46,40.23
47,40.235
75,40.055
89,40.135
96,40.035
148,40.265
177,40.27
428,40.42
449,40.5
a1495782420,40.16
10,40.51
92,40.515
123,40.48
240,40.6
352,40.82
379,41.02
412,40.925
497,41.015
499,40.945
a1496042040,40.74
13,40.78
84,40.755
450,40.825
a1496129100,40.81
19,41.01
31,41.035
35,41.085
38,41.05
40,41
44,41
61,40.89
66,41
67,41
69,41
93,41
94,41
95,41
105,41
107,41
112,41
113,41
"
