WIB
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1494405300,22.435
136,22.35
414,22.265
a1494494640,21.285
275,21.29
a1494572700,21.1
37,21.32
97,21.185
a1494853800,21
3,20.85
9,20.925
a1494920760,21.12
138,20.685
a1495006740,20.84
326,20.48
391,20.2
a1495095000,20.05
414,20.035
a1495186200,20.38
a1495436700,20.6
2,20.5
20,20.38
97,20.38
430,20.22
a1495525980,19.82
42,20.065
47,20.115
422,20.21
a1495609680,20.24
138,20.545
146,20.645
246,20.815
268,20.945
269,21.125
428,21.09
493,21.535
a1495703820,21.61
35,21.61
290,21.61
a1495782420,20.8
10,21.29
40,21.29
297,21.43
452,21.6
a1496055180,21.14
27,21.095
a1496132160,21.355
"
