ENUR
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=60
a1484640360,10.2,10.2,10.2,10.2,190
a1484833380,10.6,10.6,10.6,10.6,1150
55,10.645,10.645,10.645,10.645,5500
82,10.615,10.615,10.615,10.615,1500
a1484911620,10.685,10.685,10.685,10.685,190
257,10.715,10.715,10.715,10.715,960
258,10.72,10.72,10.72,10.72,540
a1485351000,10.905,10.905,10.905,10.905,350
a1485418920,11.13,11.13,11.125,11.125,3300
2,11.13,11.13,11.13,11.13,1700
23,11.09,11.09,11.085,11.085,1000
78,11.025,11.025,11.025,11.025,38
"
