KSB
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=60
a1484644980,355.8,355.85,355.8,355.85,15
86,362.15,362.15,362.15,362.15,30
a1484751060,362.75,362.75,362.75,362.75,2
18,355.05,355.05,355.05,355.05,1
a1484828880,359,359,358.95,358.95,27
165,359.45,359.45,359.45,359.45,1
177,359.5,359.5,359.5,359.5,9
a1484924640,355.05,355.05,355.05,355.05,1
56,355,355.05,355,355.05,109
66,355,355,355,355,4
a1485159720,358,358,358,358,22
51,359.95,359.95,359.95,359.95,1
57,361.5,361.5,359.95,359.95,138
58,370,370,369.95,369.95,12
88,369.5,369.5,369.5,369.5,10
90,369.5,369.5,369.5,369.5,10
114,367,367,367,367,3
119,365,365,365,365,50
487,358.15,358.15,358.15,358.15,1
a1485249060,365,365,365,365,6
104,365,365,364.95,364.95,36
254,364.95,364.95,364.95,364.95,4
347,359.15,359.15,359.15,359.15,1
a1485336420,358.9,358.9,358.9,358.9,27
167,358.9,358.9,358.9,358.9,110
373,363.95,363.95,363.95,363.95,10
a1485532080,358,358,358,358,25
a1485768900,363,363,360.85,360.85,100
11,361,361,361,361,50
407,360,360,359.8,359.8,79
"
