TRIG
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=60
a1484640300,0.009,0.009,0.009,0.009,9475
a1484739540,0.005,0.005,0.005,0.005,102
a1484814000,0.008,0.008,0.008,0.008,7000
136,0.008,0.008,0.008,0.008,3000
160,0.008,0.008,0.008,0.008,25000
168,0.009,0.009,0.009,0.009,3500
203,0.009,0.009,0.009,0.009,12000
212,0.009,0.009,0.009,0.009,50000
234,0.009,0.009,0.009,0.009,10000
238,0.008,0.008,0.008,0.008,15000
255,0.01,0.01,0.01,0.01,4875
259,0.01,0.01,0.01,0.01,67000
280,0.01,0.01,0.01,0.01,90000
281,0.01,0.01,0.01,0.01,123000
307,0.01,0.01,0.01,0.01,125
313,0.012,0.012,0.012,0.012,4875
318,0.013,0.013,0.013,0.013,20000
485,0.015,0.015,0.015,0.015,1000
a1485331500,0.006,0.006,0.006,0.006,13102
a1485421380,0.01,0.01,0.01,0.01,500
74,0.006,0.006,0.006,0.006,500
236,0.006,0.006,0.006,0.006,24500
239,0.006,0.006,0.006,0.006,13110
a1485787080,0.006,0.006,0.006,0.006,200000
20,0.005,0.005,0.005,0.005,28773
21,0.005,0.005,0.005,0.005,37892
"
