ZSB
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=60
a1484814240,0.122,0.122,0.122,0.122,10000
89,0.12,0.12,0.12,0.12,5217
a1485185460,0.121,0.121,0.121,0.121,1300
28,0.121,0.121,0.121,0.121,2700
a1485254640,0.118,0.118,0.118,0.118,10000
2,0.118,0.118,0.118,0.118,4608
a1485356340,0.123,0.123,0.123,0.123,9900
7,0.125,0.125,0.123,0.123,8000
89,0.12,0.12,0.12,0.12,12000
a1485443820,0.115,0.118,0.115,0.118,30000
34,0.11,0.115,0.11,0.115,65000
37,0.116,0.116,0.116,0.116,10000
a1485504300,0.12,0.12,0.12,0.12,10000
1,0.12,0.12,0.12,0.12,5833
404,0.118,0.118,0.118,0.118,14167
a1485786600,0.123,0.123,0.123,0.123,4100
7,0.12,0.12,0.12,0.12,5000
"
